Year,Seasonal_Temperature (°C),Seasonal_Rainfall (mm),Fertilizer (kg/ha),Pesticide (kg/ha),Nitrogen_Medium_%,Phosphorus_High_%,Phosphorus_Medium_%,Organic_Carbon_High_%,Organic_Carbon_Medium_%,Organic_Carbon_Low_%,pH_Alkaline_%,pH_Acidic_%,pH_Neutral_%,EC_NonSaline_%,EC_Saline_%,Sulphur_Sufficient_%,Sulphur_Deficient_%,Iron_Sufficient_%,Iron_Deficient_%,Zinc_Sufficient_%,Zinc_Deficient_%,Boron_Sufficient_%,Boron_Deficient_%,Area (ha),Season_Rabi       ,Yield (t/ha)
2015,26.92608695652174,83.9,4926318.27,10295.01,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,31197.0,True,0.867777778
2016,28.707391304347823,1961.1,9492764.75,21680.05,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,61943.0,False,0.840526316
2016,27.209130434782605,27.700000000000003,4261882.5,9733.5,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,27810.0,True,1.1768
2017,28.681304347826085,1841.0,6791646.72,16392.44,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,43138.0,False,0.921363636
2017,26.97188405797101,38.8,3805954.56,9186.12,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,24174.0,True,1.34625
2018,28.380869565217395,1841.0,5659806.8,12212.9,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,34894.0,False,0.941904762
2018,26.912173913043475,38.8,3436207.0,7414.75,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,21185.0,True,1.624230769
2019,28.695652173913043,1841.0,9814194.64,21141.43,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,57139.0,False,1.164482759
2019,26.943188405797105,38.8,5340018.4,11503.3,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,31090.0,True,1.984814815
1999,28.08171739130435,1538.9,34892678.49,88768.71,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,328773.0,False,0.609
1999,26.880756038647345,23.3,43211466.28,109932.12,23.8,49.52,32.59,22.23,23.88,53.89,4.81,1.33,93.86,93.62,6.38,84.1,15.9,70.54,29.46,63.5,36.5,74.68,25.32,407156.0,True,0.605909091
